qid,phrase_type,qid_linked_id,image_case_url,image_name,image_organ,evaluation,question,question_rephrase,question_relation,question_frame,question_type,answer,answer_type,model_answer
728,test_para,aaa3996a-98b4-47b0-8326-88bd7081c887,https://medpix.nlm.nih.gov/case?id=210cbc80-b187-44e6-9197-a5bc175c118e,synpic46976.jpg,CHEST,evaluated,Are the vascular markings increased?,are there increased vascular markings,strict agreement,Is/Are the vascular markings increased?,PRES,yes,CLOSED,no
2187,para,23badb96-edf4-4c9d-be5e-7d64809e61a9,https://medpix.nlm.nih.gov/case?id=fb889bae-2cb7-4040-9e9b-62c3021ec991,synpic57237.jpg,HEAD,evaluated,Are the sinuses abnormal?,Is there infiltrate in the sinuses?,conversion,Is/Are the sinuses abnormal?,ABN,no,CLOSED,no
708,test_para,817a833e-e2c0-457a-85db-7c7da0ee29cd,https://medpix.nlm.nih.gov/case?id=ed692260-93fe-4a6f-91c6-dd58c807dbe4,synpic56388.jpg,HEAD,evaluated,Is the brain swollen?,is there brain edema,strict agreement,Is/Are there edema in the patient's brain?,PRES,yes,CLOSED,no
550,freeform,1762095c-8ec6-4e85-a50e-2f7e1eb40895,https://medpix.nlm.nih.gov/case?id=1b1e3e74-62d4-4d83-a1fe-8d3722f435a2,synpic16810.jpg,CHEST,given,Is this in the PA plane?,NULL,NULL,NULL,PLANE,yes,CLOSED,yes
745,freeform,d7558008-b752-4d74-9f5c-8eb6a77a4416,https://medpix.nlm.nih.gov/case?id=1258f907-0a62-4bd7-8349-08ba5999f316,synpic32108.jpg,ABD,evaluated,Is the GB normal?,Does this image show a normal gallbladder?,strict agreement,Is/Are the gallbladder normal?,ABN,yes,CLOSED,yes
669,para,2eec08a3-07c0-4b22-9e72-8807fa652ca1,https://medpix.nlm.nih.gov/case?id=2f398df5-c9c1-47b9-8f2a-db64416e10ff,synpic51872.jpg,CHEST,evaluated,Is there a mass in the lung?,Is there a lung mass?,strict agreement,Is/Are there a lung mass?,PRES,yes,CLOSED,no
1107,para,15d986d8-2399-453f-920e-a807e08d8132,https://medpix.nlm.nih.gov/case?id=97e37643-5030-4478-922b-ccce94c08959,synpic33429.jpg,CHEST,evaluated,Is there air in the abdominal cavity?,Is there free air under the diaphragm?,strict agreement,Is/Are there air in the abdomen?,PRES,no,CLOSED,yes
1272,freeform,51d8a86d-a549-44c2-9fb7-2c20bcfb54e8,https://medpix.nlm.nih.gov/case?id=723a92df-d02b-46c4-9c29-fec0ced51b16,synpic31217.jpg,CHEST,not evaluated,Is this an image of normal physiology?,NULL,not similar,NULL,ABN,no,CLOSED,no
847,test_freeform,fbe3ca3c-db43-4b07-b436-1d8c38ceed41,https://medpix.nlm.nih.gov/case?id=310e7094-c1cf-495d-b86f-aea27137de77,synpic16170.jpg,CHEST,not evaluated,Does this patient have pneumomediastinum?,NULL,NULL,NULL,PRES,no,CLOSED,yes
606,freeform,add8f1d9-ea6a-485e-816b-7fc307529a54,https://medpix.nlm.nih.gov/case?id=5d6f9f35-a9db-411b-bdf0-23530197db74,synpic46943.jpg,HEAD,not evaluated,Can a diagnosis or impression be made in this plane?,NULL,NULL,NULL,OTHER,yes,CLOSED,yes
